date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-IXICOpen,GSPCClose-GSPCOpen,SOXClose-SOXOpen
2004-10-26,0000,0,0.0104653,-0.0022633,-0.0021076,0.0070718,0.0146523,-0.0040578,
2004-10-27,0000,-0,-0.0053661,-0.0049337,0.0078289,0.0213148,0.0127155,0.0335848,
2004-10-28,0000,0,0.0056832,0.0022468,0.0018174,0.0062660,0.0018626,0.0052381,
2004-10-29,0000,-0,-0.0096777,-0.0122839,-0.0087975,0.0002228,0.0024420,-0.0002668,
2004-11-01,0000,0,0.0157442,0.0154247,0.0179595,0.0022173,0.0002742,0.0035290,
2004-11-02,0000,0,0.0175031,0.0172902,0.0176092,0.0016727,0.0000442,0.0012553,
2004-11-03,0000,0,0.0121608,-0.0005784,-0.0003617,-0.0050491,0.0110742,-0.0101200,
2004-11-04,0000,0,0.0001432,-0.0008430,0.0118996,0.0125912,0.0158995,0.0063966,
2004-11-05,0000,0,0.0012516,0.0000505,0.0010358,0.0019128,0.0038588,0.0122299,
2004-11-08,0000,0,0.0006355,0.0001009,0.0013019,0.0005051,-0.0010988,0.0018633,
2004-11-09,0000,-0,-0.0048330,0.0000185,0.0005531,0.0021044,-0.0006958,-0.0067581,
2004-11-10,0000,-0,-0.0030465,-0.0077028,-0.0125917,-0.0024674,-0.0010061,-0.0247437,
2004-11-11,0000,0,0.0099462,0.0025975,0.0072062,0.0096688,0.0090074,0.0205185,
2004-11-12,0000,-0,-0.0073782,-0.0092082,-0.0017726,0.0096004,0.0090274,0.0225337,
2004-11-15,0000,-0,-0.0002197,-0.0011115,0.0007038,0.0054916,-0.0003041,0.0134088,
2004-11-16,0000,0,0.0243157,0.0186708,0.0195449,-0.0040652,-0.0071293,0.0115994,
2004-11-17,0000,-0,-0.0017115,-0.0023258,0.0034400,0.0041625,0.0055079,0.0278277,
2004-11-18,0000,-0,-0.0152424,-0.0044221,-0.0038065,0.0038445,0.0013603,0.0129926,
2004-11-19,0000,-0,-0.0180323,-0.0212215,-0.0322228,-0.0144014,-0.0112873,-0.0273687,
2004-11-22,0000,0,0.0020481,-0.0009588,0.0021671,0.0090399,0.0058612,-0.0039503,
2004-11-23,0000,0,0.0095104,0.0072031,0.0101856,0.0008684,-0.0002549,-0.0047939,
2004-11-24,0000,-0,-0.0070518,-0.0119278,-0.0095760,0.0051129,0.0040787,0.0010146,
2004-11-26,0000,-0,-0.0047030,-0.0021935,0.0011426,0.0000761,0.0007525,-0.0064040,
2004-11-29,0000,0,0.0012547,0.0126524,0.0101801,-0.0019175,-0.0034618,-0.0078857,
2004-11-30,0000,0,0.0142386,0.0035457,-0.0079571,-0.0037486,-0.0040466,-0.0139901,
2004-12-01,0000,0,0.0013613,0.0010958,0.0118150,0.0157373,0.0147645,0.0311982,
2004-12-02,0000,-0,-0.0008628,0.0040317,0.0042964,0.0044878,-0.0008737,-0.0023022,
2004-12-03,0000,0,0.0073495,0.0092445,0.0043756,-0.0024814,0.0007052,-0.0022458,
2004-12-06,0000,0,0.0001777,0.0029383,0.0010312,0.0027054,-0.0007729,0.0035804,
2004-12-07,0000,-0,-0.0024191,-0.0027849,-0.0055613,-0.0186649,-0.0111973,-0.0232452,
2004-12-08,0000,0,0.0019640,0.0032652,0.0036287,0.0037486,0.0048529,-0.0122942,
2004-12-09,0000,-0,-0.0008151,0.0009084,-0.0003958,0.0091404,0.0054068,-0.0017863,
2004-12-10,0000,0,0.0011306,-0.0038375,-0.0055691,0.0032518,-0.0010438,-0.0048729,
2004-12-13,0000,0,0.0038308,0.0002572,0.0052050,0.0033977,0.0089098,0.0047048,
2004-12-14,0000,0,0.0126769,0.0119499,0.0154817,0.0068477,0.0039057,0.0180130,
2004-12-15,0000,0,0.0021263,0.0020318,0.0027661,0.0013271,0.0019407,0.0029721,
2004-12-16,0000,-0,-0.0180154,-0.0017440,-0.0016491,-0.0064348,-0.0020861,-0.0162729,
2004-12-17,0000,0,0.0114845,0.0121401,-0.0039058,-0.0035172,-0.0075448,-0.0067493,
2004-12-20,0000,0,0.0044436,0.0009820,0.0003190,-0.0067486,0.0003767,-0.0159990,
2004-12-21,0000,-0,-0.0009779,-0.0011914,0.0022778,0.0075131,0.0089593,0.0102498,
2004-12-22,0000,-0,-0.0021754,-0.0008553,-0.0006419,0.0051181,0.0034062,-0.0004245,
2004-12-23,0000,0,0.0046942,0.0049257,0.0036133,0.0033833,0.0004628,0.0060033,
2004-12-27,0000,0,0.0096073,0.0034063,0.0024381,-0.0067774,-0.0043239,-0.0085797,
2004-12-28,0000,0,0.0117578,0.0082697,0.0144404,0.0093882,0.0071032,0.0082953,
2004-12-29,0000,0,0.0014137,-0.0014949,0.0020276,0.0027607,-0.0000742,0.0098483,
2004-12-30,0000,0,0.0077452,0.0034301,0.0063244,0.0003994,0.0000824,0.0017159,
2004-12-31,0000,-0,-0.0079309,-0.0037880,0.0005583,-0.0016273,-0.0013450,0.0047310,
2005-01-03,0000,-0,-0.0197351,-0.0094729,-0.0136392,-0.0151476,-0.0081858,-0.0213313,
2005-01-04,0000,-0,-0.0017950,-0.0018536,-0.0120383,-0.0239342,-0.0118093,-0.0346281,
